2020-01-02 16:52:06, [1 - Critical], Help, Normal
2020-01-19 00:22:33, [1 - Critical], Help, Normal
2020-01-13 04:33:22, [1 - Critical], Help, In Progress
2020-01-05 21:38:40, [1 - Critical], Smartphone, 
2020-01-05 04:28:58, [1 - Critical], Software, Normal
2020-01-04 05:06:36, [1 - Critical], Smartphone, Normal
2020-01-13 09:56:15, [1 - Critical], Network, 
2020-01-05 15:46:54, [1 - Critical], Help, On Hold
2020-02-17 16:27:37, [2 - High], Help, In Progress
2020-02-06 09:54:34, [2 - High], Hardware, In Progress
2020-01-08 00:57:45, [2 - High], Help, Normal
2020-01-11 21:55:16, [2 - High], Software, In Progress
2020-02-25 08:43:03, [2 - High], Smartphone, Normal
2020-02-16 09:39:15, [2 - High], Network, Normal
2020-02-03 20:25:20, [2 - High], Software, 
2020-02-19 16:57:29, [2 - High], Software, In Progress
2020-01-09 06:06:13, [2 - High], Help, 
2020-01-08 06:47:08, [2 - High], Hardware, Normal
2020-02-24 05:07:13, [2 - High], Help, Normal
2020-02-03 00:41:31, [2 - High], Network, 
2020-01-22 16:34:04, [2 - High], Network, In Progress
2020-01-17 18:29:46, [2 - High], Software, Normal
2020-02-21 11:02:31, [2 - High], Help, In Progress
2020-01-24 11:21:16, [2 - High], Hardware, Normal
2020-02-03 05:19:04, [2 - High], Help, Closed
2020-01-25 05:25:02, [2 - High], Hardware, 
2020-02-20 02:25:10, [2 - High], Hardware, In Progress
2020-02-13 13:53:48, [2 - High], Help, On Hold
2020-01-08 15:29:31, [2 - High], Software, Normal
2020-02-18 20:43:51, [2 - High], Help, 
2020-02-02 04:23:56, [2 - High], Network, Normal
2020-01-20 21:48:16, [2 - High], Help, 
2020-02-15 08:42:42, [2 - High], Help, 
2020-01-03 07:18:57, [2 - High], Help, 
2020-02-03 08:31:24, [2 - High], Hardware, Normal
2020-01-16 11:43:29, [2 - High], Help, Closed
2020-02-08 15:37:17, [2 - High], Help, Normal
2020-02-07 11:12:33, [2 - High], Software, In Progress
2020-02-11 08:23:25, [2 - High], Software, In Progress
